id,account_type,followersCount,friendsCount,statusesCount,favouritesCount,mediaCount,blue,word_count_mean,word_count_max,word_count_min,rt_count_max,rt_count_mean,like_count_mean,like_count_max,average_tweets_per_day,replyCount_mean,replyCount_max,unique_reply_count,hashtagCount_max,hashtagCount_mean,links_count_mean,photos_count_all_mean,photos_count_original_mean,videos_count_all_mean,videos_count_original_mean,mentionCount_mean,mentionCount_max,description_word_count,username_char_count,following_vs_followers_ratio,like_vs_tweet_ratio
388274900.0,bot,429.0,776.0,6579.0,1843.0,1209.0,False,13.944444444444445,34.0,4.0,1.0,0.1666666666666666,0.7777777777777778,3.0,1.555686923622606,0.1666666666666666,1.0,2.0,9.0,2.4347826086956523,0.782608695652174,0.3043478260869565,0.3333333333333333,0.0,0.0,0.2777777777777778,2.0,5,10,1.808857808857809,3.5697232772653282
1948293908.0,human,35478.0,11635.0,121584.0,94944.0,18142.0,False,6.9,15.0,2.0,4.0,0.6,7.3,28.0,31.728601252609604,0.8,3.0,3.0,3.0,0.3333333333333333,0.0555555555555555,0.2222222222222222,0.0,0.1666666666666666,0.0,0.8,2.0,8,12,0.32794971531653416,1.2805864509605662
2502466327.0,human,358382.0,5719.0,46592.0,111619.0,9014.0,True,24.444444444444443,48.0,1.0,618.0,211.66666666666663,1628.7777777777778,4358.0,12.902797009138744,89.11111111111111,297.0,18.0,0.0,0.0,0.2142857142857142,0.3928571428571428,0.3888888888888889,0.0714285714285714,0.0,0.0555555555555555,1.0,29,6,0.01595783270365141,0.4174199733020364
148413248.0,human,84029.0,773.0,6408.0,240.0,1291.0,False,10.25,23.0,2.0,0.0,0.0,2.5,6.0,1.6644155844155843,0.75,2.0,3.0,5.0,0.7948717948717948,0.1282051282051282,0.6153846153846154,0.0,0.0,0.0,1.25,2.0,1,12,0.009199205036356496,26.7
2557778761.0,human,429.0,252.0,78389.0,75009.0,3853.0,False,14.636363636363637,53.0,3.0,40.0,3.636363636363636,1.0,11.0,21.84146001671775,0.0909090909090909,1.0,2.0,1.0,0.048780487804878,0.0,0.3658536585365853,0.0,0.1951219512195122,0.0909090909090909,0.2727272727272727,1.0,16,5,0.5874125874125874,1.0450612593155488
469015376.0,bot,296.0,258.0,3216.0,683.0,268.0,False,15.75,41.0,7.0,1.0,0.125,1.0,2.0,1.3126530612244898,0.125,1.0,2.0,1.0,0.0434782608695652,0.1304347826086956,0.1304347826086956,0.375,0.1304347826086956,0.0,0.375,1.0,8,6,0.8716216216216216,4.708638360175695
116693914.0,bot,13.0,309.0,1837.0,1264.0,0.0,False,4.75,12.0,2.0,0.0,0.0,0.25,1.0,0.4473940574768631,0.25,1.0,2.0,6.0,1.0434782608695652,0.1304347826086956,0.5652173913043478,0.0,0.0434782608695652,0.0,0.75,1.0,3,11,23.76923076923077,1.4533227848101267
298097587.0,human,929400.0,551.0,4023.0,2295.0,2100.0,False,4.368421052631579,13.0,0.0,19.0,4.7368421052631575,44.10526315789474,157.0,0.8541401273885351,1.0526315789473684,8.0,5.0,0.0,0.0,0.0,0.2857142857142857,0.2631578947368421,0.2857142857142857,0.2631578947368421,0.0,0.0,9,12,0.0005928556057671616,1.7529411764705882
180394936.0,human,306614.0,3164.0,160556.0,11565.0,4569.0,True,43.35294117647059,70.0,22.0,229.0,43.1764705882353,112.11764705882354,580.0,32.24663587065676,26.823529411764707,239.0,11.0,3.0,1.0,0.04,0.08,0.0,0.12,0.0,0.1176470588235294,2.0,11,8,0.010319163508515593,13.882922611327281
32545745.0,human,175997.0,164.0,276504.0,9574.0,63348.0,False,21.2,36.0,9.0,10.0,0.9333333333333332,4.466666666666667,26.0,50.5676664228237,1.7333333333333334,15.0,5.0,4.0,0.3076923076923077,0.6153846153846154,0.1923076923076923,0.0,0.0384615384615384,0.0,0.1333333333333333,1.0,26,6,0.0009318340653533867,28.880718612909966
552901622.0,human,560.0,555.0,29250.0,47183.0,1274.0,False,12.2,32.0,2.0,0.0,0.0,3.1,25.0,6.68418647166362,0.7,7.0,2.0,1.0,0.0526315789473684,0.0263157894736842,0.2631578947368421,0.0,0.131578947368421,0.0,1.1,2.0,20,9,0.9910714285714286,0.6199266685034864
21273590.0,bot,87604.0,1515.0,70205.0,431.0,9123.0,False,6.947368421052632,17.0,1.0,4.0,0.5263157894736842,15.63157894736842,56.0,12.70678733031674,1.1578947368421053,7.0,5.0,2.0,0.0975609756097561,0.1463414634146341,0.2682926829268293,0.2105263157894736,0.1463414634146341,0.1052631578947368,0.7368421052631579,4.0,12,9,0.017293730879868498,162.88863109048725
201104385.0,human,342.0,120.0,49684.0,25.0,222.0,False,5.0,5.0,5.0,0.0,0.0,0.0,0.0,10.088121827411168,0.0,0.0,1.0,0.0,0.0,0.0476190476190476,0.8095238095238095,0.0,0.1428571428571428,0.0,0.0,0.0,7,9,0.3508771929824561,1987.36
190618660.0,human,2137928.0,23.0,54004.0,13652.0,2979.0,True,14.5,53.0,1.0,332.0,72.33333333333333,463.8333333333333,1985.0,10.92093023255814,16.416666666666668,70.0,10.0,5.0,0.3793103448275862,0.2758620689655172,0.3448275862068966,0.5,0.1379310344827586,0.0833333333333333,0.0833333333333333,1.0,14,10,1.0758079785661631e-05,3.955757398183416
281844780.0,human,1355.0,1812.0,13685.0,6422.0,1487.0,True,6.277777777777778,16.0,1.0,0.0,0.0,1.7222222222222223,13.0,2.938587073223105,0.0,0.0,1.0,7.0,0.4411764705882353,0.1470588235294117,0.088235294117647,0.0555555555555555,0.1764705882352941,0.1111111111111111,0.7222222222222222,2.0,1,14,1.337269372693727,2.130956088445967
