taken_from,word_count_mean,word_count_max,word_count_min,rt_count_max,rt_count_mean,like_count_mean,like_count_max,hourly_tweet_mean,replyCount_mean,replyCount_max,unique_reply_count,hashtagCount_max,hashtagCount_mean,links_count_mean,photos_count_all_mean,photos_count_original_mean,videos_count_all_mean,videos_count_original_mean,mentionCount_mean,mentionCount_max
47943697,9.142857142857142,28,0,0.0,0.0,7.571428571428571,47.0,0.0017922514887288984,1.1428571428571428,4.0,4,11,0.42857142857142855,0.0,0.6071428571428571,1.1428571428571428,0.39285714285714285,0.0,0.2857142857142857,1
47964412,9.882352941176471,33,1,3628.0,265.29411764705884,924.9411764705883,2347.0,0.13343810695805597,30.235294117647058,95.0,13,1,0.1,0.1,0.5333333333333333,0.5294117647058824,0.1,0.17647058823529413,0.9411764705882353,4
48042689,20.125,41,2,1.0,0.125,0.375,1.0,0.006276030914989931,0.25,2.0,2,2,0.29411764705882354,0.23529411764705882,0.3235294117647059,0.5,0.17647058823529413,0.0,0.375,1
48048580,14.444444444444445,43,3,9.0,1.7777777777777777,23.11111111111111,120.0,0.00042033592686827406,2.611111111111111,16.0,7,4,0.675,0.2,0.15,0.1111111111111111,0.075,0.1111111111111111,0.5,4
48057281,37.75,47,20,1.0,0.05,0.65,4.0,0.0025266416819236053,0.05,1.0,2,4,2.7,0.1,0.7,0.7,0.0,0.0,0.05,1
48093569,11.3,41,0,9.0,1.5,3.7,16.0,0.11417144216326691,0.1,1.0,2,0,0.0,0.3333333333333333,0.3055555555555556,0.4,0.0,0.0,1.2,4
48108211,18.25,44,4,4.0,0.75,14.625,40.0,0.0074062891133298385,1.75,5.0,5,1,0.23529411764705882,0.5294117647058824,0.3235294117647059,0.625,0.08823529411764706,0.25,1.0,2
48119137,13.722222222222221,36,2,2.0,0.2222222222222222,1.6111111111111112,12.0,0.0573731405629362,0.4444444444444444,2.0,3,1,0.05263157894736842,0.10526315789473684,0.23684210526315788,0.05555555555555555,0.0,0.0,0.8333333333333334,2
48155249,9.909090909090908,18,4,6.0,0.9090909090909091,31.181818181818183,322.0,0.0018344126643773876,0.36363636363636365,4.0,2,4,0.9411764705882353,0.2647058823529412,0.5,0.6363636363636364,0.058823529411764705,0.0,0.2727272727272727,2
48177632,14.631578947368421,44,1,6.0,0.3157894736842105,2.8421052631578947,42.0,0.001466018500869369,0.15789473684210525,1.0,2,2,0.06976744186046512,0.023255813953488372,0.3023255813953488,0.05263157894736842,0.0,0.0,1.2105263157894737,3
48225768,7.0,11,3,0.0,0.0,1.0,1.0,0.00025257794822969434,0.0,0.0,1,1,0.25,0.0,0.25,0.5,0.5,0.0,0.0,0
48295596,15.263157894736842,47,1,7.0,1.0526315789473684,6.315789473684211,29.0,0.0009669752302533354,1.6842105263157894,11.0,5,5,0.9310344827586207,0.034482758620689655,0.3793103448275862,0.3157894736842105,0.2413793103448276,0.2631578947368421,0.3157894736842105,2
48320268,32.5,38,27,1112.0,279.0,310.0,1237.0,0.00044240264127053873,34.0,136.0,2,6,0.3157894736842105,0.7631578947368421,0.3157894736842105,0.5,0.02631578947368421,0.0,0.0,0
48332360,15.368421052631579,48,1,99.0,38.78947368421053,353.4736842105263,1192.0,0.02183487226220649,42.26315789473684,127.0,17,6,1.125,0.20833333333333334,0.6666666666666666,0.8421052631578947,0.2916666666666667,0.2631578947368421,0.3684210526315789,2
48359478,176.55,550,16,13.0,4.0,12.8,54.0,0.20627476371512307,0.5,3.0,4,0,0.0,0.15,0.5,0.5,0.35,0.35,0.05,1
48360631,19.1,44,2,172.0,87.0,659.9,1158.0,0.00598450279753341,53.5,153.0,9,4,1.3666666666666667,0.1,0.16666666666666666,0.1,0.43333333333333335,0.8,0.0,0
48370152,12.125,29,2,0.0,0.0,0.0625,1.0,0.0011670900372227806,0.375,2.0,3,1,0.08,0.2,0.04,0.0,0.08,0.0,0.8125,1
48396193,12.0,21,4,2.0,0.25,2.1666666666666665,11.0,0.002738485457515272,0.3333333333333333,1.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,2
48399528,25.571428571428573,45,0,1215.0,114.85714285714286,514.2142857142857,5538.0,0.0005311745789213477,40.07142857142857,173.0,11,6,1.032258064516129,0.45161290322580644,0.1935483870967742,0.14285714285714285,0.41935483870967744,0.5714285714285714,0.7857142857142857,3
48410093,23.0,48,5,15035.0,6028.066666666667,48200.13333333333,143904.0,0.004529458465494963,1371.2,5340.0,15,1,0.16,0.16,1.04,1.3333333333333333,0.52,0.5333333333333333,0.0,0
48424266,16.428571428571427,40,3,172.0,12.928571428571429,61.92857142857143,715.0,0.0006915958769566822,5.571428571428571,73.0,4,1,0.08108108108108109,0.16216216216216217,0.40540540540540543,0.2857142857142857,0.05405405405405406,0.0,0.5714285714285714,2
48434251,27.0,42,1,8.0,1.25,5.85,25.0,0.016620748002913247,0.05,1.0,2,1,0.15,0.65,0.5,0.5,0.15,0.15,0.1,1
48459553,45.166666666666664,102,7,3479.0,987.0,2123.8333333333335,5154.0,0.010942017846482844,261.3333333333333,638.0,6,1,0.02127659574468085,0.1276595744680851,0.3191489361702128,0.16666666666666666,0.2127659574468085,0.5,0.0,0
48469965,30.0,30,30,0.0,0.0,7.0,7.0,0.0007344691323025613,1.0,1.0,1,4,0.9230769230769231,0.7307692307692307,0.38461538461538464,0.0,0.038461538461538464,0.0,1.0,1
48485996,21.384615384615383,41,5,2.0,0.46153846153846156,1.1538461538461537,4.0,0.008530449654065807,0.15384615384615385,1.0,2,4,0.5806451612903226,0.22580645161290322,0.6774193548387096,0.3076923076923077,0.03225806451612903,0.07692307692307693,0.7692307692307693,3
48492831,13.75,31,5,24.0,7.5,71.0,264.0,0.0949083228040394,12.75,47.0,4,7,0.3170731707317073,0.17073170731707318,0.21951219512195122,0.0,0.0975609756097561,0.0,0.75,1
48566699,20.076923076923077,50,4,0.0,0.0,0.23076923076923078,2.0,0.008512998356460697,0.0,0.0,1,1,0.04878048780487805,0.024390243902439025,0.2682926829268293,0.07692307692307693,0.07317073170731707,0.0,1.0,2
48572467,8.25,16,1,0.0,0.0,0.9375,3.0,0.11021446799008071,0.3125,1.0,2,2,0.29411764705882354,0.14705882352941177,0.38235294117647056,0.0625,0.14705882352941177,0.0,0.25,1
